"","species","aou","shift_distance","slope_lat","pvalue_lat","slope_lon","pvalue_lon","r"
"1","Northern Bobwhite",2890,257.628371680923,-0.0527111181693363,3.06168002657205e-05,0.0258801203795017,0.0497623756336458,-1.22461153169696
"2","Scaled Quail",2930,132.964850870453,-0.00763931545176229,0.676902606518362,0.0673831301242076,0.166049878487438,-0.701896443590126
"3","California Quail",2940,455.569107559135,0.0355290794360712,0.0122979348360023,0.150935927323219,0.000842386339046281,-0.0433164548339634
"4","Sharp-tailed Grouse",3080,424.24485480044,-0.06318235159338,0.0031765228694525,0.162705922663543,0.000640188296979222,0.114368585990583
"5","Wild Turkey",3100,701.61287572628,0.0267637290615579,0.27180520830421,0.182484418464596,0.00142506476957864,0.163423023757152
"6","Common Ground-Dove",3200,941.027541262253,-0.10067070521653,0.000462900134999545,0.285178764708126,0.00119084635122617,-0.641769476171775
"7","Inca Dove",3210,880.280772886541,-0.00586483451508277,0.645198387607652,0.143486576568188,0.00736851965237439,-0.279251548498671
"8","Black Vulture",3260,1137.44581422355,-0.104921896088115,0.00108183151717239,0.299617235001519,0.000101904476043368,0.533674752152587
"9","Great Horned Owl",3750,151.896637182496,-0.0572767867405827,0.0112847825208865,0.073893983831664,0.0398138310903137,-0.0882992113981534
"10","Greater Roadrunner",3850,470.905151472411,-0.042316891197542,0.0031861367138343,0.154145139693429,0.00332951114425522,0.0696414502195734
"11","Hairy Woodpecker",3930,128.141408376861,-0.0370462419601823,0.0289054684450212,0.00149937736973848,0.956838765008724,0.133666589246396
"12","Downy Woodpecker",3940,522.468952760637,-0.0949968604032953,0.000179750730304604,0.160395086972758,0.000982440760052623,0.145755185534467
"13","Pileated Woodpecker",4050,862.521447876448,-0.0835525777060221,0.0125812864801705,0.289956564270224,0.000890667864384165,0.209637518833692
"14","Red-bellied Woodpecker",4090,872.713988792633,-0.0811904996158208,0.000507736032641784,0.249814555505671,4.96785512316479e-05,0.310471328645592
"15","Steller's Jay",4780,339.110834312593,-0.00547525634840387,0.673580353711023,0.161057997310909,0.00383440721142944,-0.191438117280185
"16","Common Raven",4860,314.008658193234,-0.026527409388308,0.112598514292252,-0.0782024930367836,0.0110057167175112,0.136286968216059
"17","Fish Crow",4900,600.91805497931,-0.0520845936993758,0.0467411059068038,0.230352150745618,0.00149151029947264,-0.39003082450729
"18","Great-tailed Grackle",5120,262.856808200903,0.0541731686546318,6.62276072947445e-05,-0.0498973236207635,0.00326459478823154,-0.916531125513484
"19","Lesser Goldfinch",5300,418.307243665108,-0.033699049370251,0.107018188033735,0.204220076219635,0.00506973503825566,-0.222809250108823
"20","Rufous-crowned Sparrow",5800,238.196831469658,-0.0641426170139191,0.00836109422307545,0.158237483989522,0.0944494456427387,-0.021207939730763
"21","Northern Cardinal",5930,632.248496022227,-0.0708391987817668,0.000359116096869632,0.157348729590115,8.1953823636892e-06,0.202632583724358
"22","Pyrrhuloxia",5940,150.621002552167,0.0213295754861505,0.000482350759291088,0.0205230642428353,0.207463762101592,-1.45533776004404
"23","Northern Mockingbird",7030,204.744722912022,-0.0349558969524408,0.00232243708660273,0.0580384680063271,0.000342329087636664,-0.272089988050334
"24","Curve-billed Thrasher",7070,467.720516053413,0.0354601630886415,0.00930366530986858,-0.0290570661694554,0.263835992333619,-0.521639102314923
"25","Carolina Wren",7180,891.564066585878,-0.0918514972074522,0.000819605987249603,0.253992634609801,0.000173261472769805,0.45979720557945
"26","White-breasted Nuthatch",7270,517.316993277546,-0.10465044098632,0.000329794973733875,0.181834457935063,0.00470432680716112,0.426375497891359
"27","Brown-headed Nuthatch",7290,1036.6670848547,-0.122834355043789,0.00462868098461158,0.371383550394718,0.00216682185723021,-0.0574499121778434
"28","Pygmy Nuthatch",7300,877.616517895611,-0.0317029021442704,0.0293980566582065,0.318078998276829,0.000117835056635889,-0.156299893573338
"29","Tufted Titmouse",7310,948.517367200999,-0.101616695706649,9.65496784252797e-05,0.246287226342947,8.99902463283073e-05,0.519600863113397
"30","Black-capped Chickadee",7350,76.1607238204273,-0.024842646658448,0.0336492740081169,0.080242921952139,0.0183686784997501,0.407201959279502
"31","Carolina Chickadee",7360,926.702235590499,-0.104496573101643,0.000221746698215925,0.243732008606327,0.00018075396123429,0.376886849382086
"32","Mountain Chickadee",7380,565.509497593312,-0.014876301420163,0.296357945892112,0.205135419824125,0.000285014977691908,-0.234391711634463
"33","Chestnut-backed Chickadee",7410,862.185222744335,-0.0248163375181838,0.350782210982643,0.241235325232186,0.00503448007128154,-0.153738276497435
"34","Bushtit",7430,381.880981612835,-0.0284589953112233,0.126464850623426,0.199723659107958,0.00230270803361317,-0.503868587811949
"35","Verdin",7460,219.288260592662,0.000908660603143005,0.954111085088334,0.0574032607406308,0.277394371088314,-0.0454646809982836
