"","aou","shifted_dist","velocity","bearing","population_change"
"1",2890,259.016483673828,5.28605068722098,-165.101263732956,-23.1317773209197
"2",2930,123.144973931823,2.51316273330251,14.9126966161205,-3.38527191102949
"3",2940,580.955791795507,11.8562406488879,85.0097255417252,-2.57883949478785
"4",3080,468.001609394652,9.55105325295208,111.508505597404,0.470743911261153
"5",3100,667.869150096836,13.6299826550375,63.6253865641677,0.441970609558865
"6",3200,1083.12112905138,22.1045128377833,107.200783896529,-2.90230890052356
"7",3210,809.841091504109,16.5273692143696,96.0360814985186,-0.692948717948718
"8",3260,1336.41455062404,27.2737663392661,105.751217760358,3.42432420438697
"9",3750,144.370577980125,2.946338326125,178.503104644547,-0.193267965519093
"10",3850,527.180781019099,10.7587914493694,104.246396222492,0.431916285475382
"11",3930,141.171835903019,2.88105787557181,139.070677628514,0.31249382243096
"12",3940,662.597786299422,13.522403802029,120.01731858938,0.499789984199791
"13",4050,1011.89854473393,20.6509907088557,102.786317944374,0.716143228311849
"14",4090,801.700464990871,16.3612339794055,106.259210319322,3.00433441376685
"15",4780,445.466130452829,9.0911455194455,91.6784346614896,-2.08209281857323
"16",4860,281.962236809584,5.7543313634609,-117.828484966382,1.82741447390686
"17",4900,516.633584229447,10.5435425352948,93.8069027445549,-2.62361091289663
"18",5120,267.953176872295,5.46843218106725,-24.55749744182,-22.0768582547523
"19",5300,667.746252281271,13.6274745363525,99.2435111362392,-2.3763327721661
"20",5800,760.001996066784,15.5102448176895,108.147754273922,0.429788011695907
"21",5930,581.712538396504,11.8716844570715,112.71880023291,5.75072465585412
"22",5940,122.085850014622,2.49154795948209,3.16748772174519,-35.4788982259571
"23",7030,220.02914101867,4.49039063303408,120.78333078644,-5.48021751139992
"24",7070,513.915100050909,10.4880632663451,-56.7040401429314,-0.853404580152672
"25",7180,820.647129482695,16.7479006016877,111.328938240402,6.43200745959574
"26",7270,697.505338166658,14.2348028197277,118.860141530417,1.63192821394938
"27",7290,1140.36635797182,23.2727828157514,104.293860173445,-0.220466116032977
"28",7300,916.8937896254,18.7121181556204,101.901121646507,1.43656633221851
"29",7310,939.087629701681,19.1650536673812,112.884358739753,7.20970702948893
"30",7350,406.427760220083,8.29444408612413,98.0717159869931,2.88763085765844
"31",7360,945.230675408033,19.2904219471027,110.228158361383,2.6030912276258
"32",7380,796.029265912149,16.2454952226969,101.712507159232,-3.54074960127592
"33",7410,816.565215025691,16.6645962250141,96.9170681468003,-3.79769508601844
"34",7430,585.1269421655,11.9413661666428,95.1137380285255,-3.39446164430685
"35",7460,73.5677928028228,1.50138352658822,-20.2169293688047,3.26794790005316
