"","species","aou","shiftdistance","direction","abundance"
"1","Northern Bobwhite",2890,259.016483673828,"south","decreasing"
"2","Scaled Quail",2930,123.144973931823,NA,"decreasing"
"3","California Quail",2940,580.955791795507,"northeast","decreasing"
"4","Sharp-tailed Grouse",3080,468.001609394652,"southeast","increasing"
"5","Wild Turkey",3100,667.869150096836,"east","increasing"
"6","Common Ground-Dove",3200,1083.12112905138,"southeast","decreasing"
"7","Inca Dove",3210,809.841091504109,"east","decreasing"
"8","Black Vulture",3260,1336.41455062404,"southeast","increasing"
"9","Great Horned Owl",3750,144.370577980125,"south","decreasing"
"10","Greater Roadrunner",3850,527.180781019099,"southeast","increasing"
"11","Hairy Woodpecker",3930,141.171835903019,"southeast","increasing"
"12","Downy Woodpecker",3940,662.597786299422,"southeast","increasing"
"13","Pileated Woodpecker",4050,1011.89854473393,"southeast","increasing"
"14","Red-bellied Woodpecker",4090,801.700464990871,"southeast","increasing"
"15","Steller's Jay",4780,445.466130452829,"east","decreasing"
"16","Common Raven",4860,281.962236809584,"southwest","increasing"
"17","Fish Crow",4900,516.633584229447,"east","decreasing"
"18","Great-tailed Grackle",5120,267.953176872295,"northwest","decreasing"
"19","Lesser Goldfinch",5300,667.746252281271,"southeast","decreasing"
"20","Rufous-crowned Sparrow",5800,760.001996066784,"southeast","decreasing"
"21","Northern Cardinal",5930,581.712538396504,"southeast","increasing"
"22","Pyrrhuloxia",5940,122.085850014622,"north","decreasing"
"23","Northern Mockingbird",7030,220.02914101867,"southeast","decreasing"
"24","Curve-billed Thrasher",7070,513.915100050909,"north","decreasing"
"25","Carolina Wren",7180,820.647129482695,"southeast","increasing"
"26","White-breasted Nuthatch",7270,697.505338166658,"southeast","increasing"
"27","Brown-headed Nuthatch",7290,1140.36635797182,"southeast","decreasing"
"28","Pygmy Nuthatch",7300,916.8937896254,"southeast","increasing"
"29","Tufted Titmouse",7310,939.087629701681,"southeast","increasing"
"30","Black-capped Chickadee",7350,406.427760220083,"southeast","increasing"
"31","Carolina Chickadee",7360,945.230675408033,"southeast","increasing"
"32","Mountain Chickadee",7380,796.029265912149,"southeast","decreasing"
"33","Chestnut-backed Chickadee",7410,816.565215025691,"southeast","decreasing"
"34","Bushtit",7430,585.1269421655,"southeast","decreasing"
"35","Verdin",7460,73.5677928028228,NA,"increasing"
