"Number","Species","AOU"
1,"Northern Bobwhite","2890"
2,"Scaled Quail","2930"
3,"California Quail","2940"
4,"Sharp-tailed Grouse","3080"
5,"Wild Turkey","3100"
6,"Common Ground-Dove","3200"
7,"Inca Dove","3210"
8,"Black Vulture","3260"
9,"Great Horned Owl","3750"
10,"Greater Roadrunner","3850"
11,"Hairy Woodpecker","3930"
12,"Downy Woodpecker","3940"
13,"Pileated Woodpecker","4050"
14,"Red-bellied Woodpecker","4090"
15,"Steller's Jay","4780"
17,"Common Raven","4860"
18,"Fish Crow","4900"
19,"Great-tailed Grackle","5120"
20,"Lesser Goldfinch","5300"
21,"Rufous-crowned Sparrow","5800"
22,"Northern Cardinal","5930"
23,"Pyrrhuloxia","5940"
24,"Northern Mockingbird","7030"
25,"Curve-billed Thrasher","7070"
26,"Carolina Wren","7180"
27,"White-breasted Nuthatch","7270"
28,"Brown-headed Nuthatch","7290"
29,"Pygmy Nuthatch","7300"
30,"Tufted Titmouse","7310"
31,"Black-capped Chickadee","7350"
32,"Carolina Chickadee","7360"
33,"Mountain Chickadee","7380"
34,"Chestnut-backed Chickadee","7410"
35,"Bushtit","7430"
36,"Verdin","7460"
